Reservation-id,Reservation_Status
62931593,1
70586099,1
4230648,1
25192322,1
80931528,2
64700386,1
16938050,2
90487908,2
5595445,1
17502557,2
92229895,1
27386334,1
76765181,1
40697301,3
63963888,1
27282946,2
8696141,1
52621292,1
21821230,1
12316731,1
93926052,1
5935873,1
56971851,1
72701445,2
27017349,2
60891446,1
27044174,1
88238517,1
61900789,1
64883577,2
55378041,1
53798465,1
60781799,2
94752419,1
60425470,1
96410589,1
41224708,1
74972878,1
50824748,1
94524482,2
32635033,1
92183172,1
28323092,1
86372652,2
19585428,1
42025914,1
85872241,1
16826564,1
80812644,2
64063500,2
39990516,2
71506176,1
70061836,1
25308221,1
75655661,1
41754532,1
87457897,1
33332229,1
43160739,1
76748822,2
35120015,3
40281701,1
27470890,1
18603967,1
65425620,2
42460243,2
2260132,3
20252884,1
15834405,3
90882609,1
76274266,2
13465422,1
4154680,2
4039529,3
6464114,1
21522961,1
25365627,1
22773391,2
14737797,1
39495485,1
69167054,1
46999433,2
23730056,2
65593958,1
1794817,3
568595,2
25540175,3
84281735,2
43117940,1
61747940,1
83033730,1
50132508,1
91149643,1
22294408,1
83629935,1
90562901,1
23362123,1
25574994,2
96601070,2
9849013,1
61268622,1
71369022,1
56819796,1
44480838,1
46997829,3
19493041,2
44705080,1
68317504,1
99142742,1
10932581,1
34186149,1
14986967,1
75352672,1
73587761,1
24225853,1
31053495,1
7544562,1
84009718,1
12848784,2
22206000,1
71645476,1
63933616,2
98523961,2
48949293,1
54039707,1
74268516,2
61747586,1
73468379,1
11357536,1
57315445,1
98107193,1
36317156,1
87140045,1
3858417,1
3484037,1
22152722,2
57476767,1
76342541,1
45672997,1
56546990,1
95346355,2
33870599,1
48651179,1
66744667,1
33429510,1
29185964,1
22782756,1
93139781,1
40786744,1
6137983,1
44476577,1
451424,1
36633039,2
59841829,1
86808792,1
44607177,1
94259414,1
93524061,1
40513594,1
97015202,3
94354381,1
49608182,2
12910803,1
7510007,1
81843718,1
2368054,1
38850660,1
86780562,1
80159546,1
31891030,1
65616811,3
50402056,1
60253225,1
58193137,2
10638256,3
89721533,1
39259056,1
81117513,2
62838233,2
16279861,3
81200609,2
67118671,1
49644870,1
